category,name,movie,year,status
CINEMATOGRAPHY (BLACK-AND-WHITE),THE NIGHT OF THE IGUANA,Gabriel Figueroa,1965,nominee
CINEMATOGRAPHY (COLOR),MY FAIR LADY,Harry Stradling,1965,nominee
CINEMATOGRAPHY (COLOR),BECKET,Geoffrey Unsworth,1965,nominee
CINEMATOGRAPHY (COLOR),CHEYENNE AUTUMN,William H. Clothier,1965,nominee
CINEMATOGRAPHY (COLOR),MARY POPPINS,Edward Colman,1965,nominee
CINEMATOGRAPHY (COLOR),THE UNSINKABLE MOLLY BROWN,Daniel L. Fapp,1965,nominee
COSTUME DESIGN (BLACK-AND-WHITE),THE NIGHT OF THE IGUANA,Dorothy Jeakins,1965,nominee
COSTUME DESIGN (BLACK-AND-WHITE),A HOUSE IS NOT A HOME,Edith Head,1965,nominee
COSTUME DESIGN (BLACK-AND-WHITE),"HUSH...HUSH, SWEET CHARLOTTE",Norma Koch,1965,nominee
COSTUME DESIGN (BLACK-AND-WHITE),KISSES FOR MY PRESIDENT,Howard Shoup,1965,nominee
COSTUME DESIGN (BLACK-AND-WHITE),THE VISIT,"""The Visit"" René Hubert",1965,nominee
COSTUME DESIGN (COLOR),MY FAIR LADY,Cecil Beaton,1965,nominee
COSTUME DESIGN (COLOR),BECKET,Margaret Furse,1965,nominee
COSTUME DESIGN (COLOR),MARY POPPINS,Tony Walton,1965,nominee
COSTUME DESIGN (COLOR),THE UNSINKABLE MOLLY BROWN,Morton Haack,1965,nominee
COSTUME DESIGN (COLOR),WHAT A WAY TO GO!,"Edith Head, Moss Mabry",1965,nominee
DIRECTING,MY FAIR LADY,George Cukor,1965,nominee
DIRECTING,BECKET,Peter Glenville,1965,nominee
DIRECTING,DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,Stanley Kubrick,1965,nominee
DIRECTING,MARY POPPINS,Robert Stevenson,1965,nominee
DIRECTING,ZORBA THE GREEK,Michael Cacoyannis,1965,nominee
DOCUMENTARY (FEATURE),JACQUES-YVES COUSTEAU'S WORLD WITHOUT SUN,"Jacques-Yves Cousteau, Producer",1965,nominee
DOCUMENTARY (FEATURE),THE FINEST HOURS,"Jack Le Vien, Producer",1965,nominee
DOCUMENTARY (FEATURE),FOUR DAYS IN NOVEMBER,"Mel Stuart, Producer",1965,nominee
DOCUMENTARY (FEATURE),THE HUMAN DUTCH,"Bert Haanstra, Producer",1965,nominee
DOCUMENTARY (FEATURE),"OVER THERE, 1914-18","Jean Aurel, Producer",1965,nominee
DOCUMENTARY (SHORT SUBJECT),NINE FROM LITTLE ROCK,"Charles Guggenheim, Producer",1965,nominee
DOCUMENTARY (SHORT SUBJECT),BREAKING THE HABIT,"Henry Jacobs and John Korty, Producers",1965,nominee
DOCUMENTARY (SHORT SUBJECT),CHILDREN WITHOUT,"Charles Guggenheim, Producer",1965,nominee
DOCUMENTARY (SHORT SUBJECT),KENOJUAK,National Film Board of Canada,1965,nominee
DOCUMENTARY (SHORT SUBJECT),140 DAYS UNDER THE WORLD,"Geoffrey Scott and Oxley Hughan, Producers",1965,nominee
FILM EDITING,MARY POPPINS,Cotton Warburton,1965,nominee
FILM EDITING,BECKET,Anne Coates,1965,nominee
FILM EDITING,FATHER GOOSE,Ted J. Kent,1965,nominee
FILM EDITING,"HUSH...HUSH, SWEET CHARLOTTE",Michael Luciano,1965,nominee
FILM EDITING,MY FAIR LADY,William Ziegler,1965,nominee
FOREIGN LANGUAGE FILM,"YESTERDAY, TODAY AND TOMORROW",Italy,1965,nominee
FOREIGN LANGUAGE FILM,RAVEN'S END,Sweden,1965,nominee
FOREIGN LANGUAGE FILM,SALLAH,Israel,1965,nominee
FOREIGN LANGUAGE FILM,THE UMBRELLAS OF CHERBOURG,France,1965,nominee
FOREIGN LANGUAGE FILM,WOMAN IN THE DUNES,Japan,1965,nominee
HONORARY AWARD,7 FACES OF DR. LAO,Special Award,1965,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),MARY POPPINS,"Richard M. Sherman, Robert B. Sherman",1965,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),BECKET,Laurence Rosenthal,1965,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),THE FALL OF THE ROMAN EMPIRE,Dimitri Tiomkin,1965,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),"HUSH...HUSH, SWEET CHARLOTTE",Frank DeVol,1965,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),THE PINK PANTHER,Henry Mancini,1965,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),MY FAIR LADY,Andre Previn,1965,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),A HARD DAY'S NIGHT,George Martin,1965,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),MARY POPPINS,Irwin Kostal,1965,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),ROBIN AND THE 7 HOODS,Nelson Riddle,1965,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),THE UNSINKABLE MOLLY BROWN,"Robert Armbruster, Leo Arnaud, Jack Elliott, Jack Hayes, Calvin Jackson, Leo Shuken",1965,nominee
MUSIC (SONG),MARY POPPINS,"Chim Chim Cher-ee in ""Mary Poppins"" Music and Lyrics by Richard M. Sherman and Robert B. Sherman",1965,nominee
MUSIC (SONG),DEAR HEART,"Dear Heart in ""Dear Heart"" Music by Henry Mancini; Lyrics by Jay Livingston and Ray Evans",1965,nominee
MUSIC (SONG),"HUSH...HUSH, SWEET CHARLOTTE","Hush...Hush, Sweet Charlotte in ""Hush...Hush, Sweet Charlotte"" Music by Frank DeVol; Lyrics by Mack David",1965,nominee
MUSIC (SONG),ROBIN AND THE 7 HOODS,"My Kind Of Town in ""Robin and the 7 Hoods"" Music by James Van Heusen; Lyrics by Sammy Cahn",1965,nominee
MUSIC (SONG),WHERE LOVE HAS GONE,"Where Love Has Gone in ""Where Love Has Gone"" Music by James Van Heusen; Lyrics by Sammy Cahn",1965,nominee
BEST PICTURE,MY FAIR LADY,"Jack L. Warner, Producer",1965,nominee
BEST PICTURE,BECKET,"Hal B. Wallis, Producer",1965,nominee
BEST PICTURE,DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,"Stanley Kubrick, Producer",1965,nominee
BEST PICTURE,MARY POPPINS,"Walt Disney and Bill Walsh, Producers",1965,nominee
BEST PICTURE,ZORBA THE GREEK,"Michael Cacoyannis, Producer",1965,nominee
SHORT SUBJECT (CARTOON),THE PINK PHINK,"David H. DePatie and Friz Freleng, Producers",1965,nominee
SHORT SUBJECT (CARTOON),CHRISTMAS CRACKER,National Film Board of Canada,1965,nominee
SHORT SUBJECT (CARTOON),HOW TO AVOID FRIENDSHIP,"William L. Snyder, Producer",1965,nominee
SHORT SUBJECT (CARTOON),NUDNIK #2,"William L. Snyder, Producer",1965,nominee
SHORT SUBJECT (LIVE ACTION),CASALS CONDUCTS: 1964,"Edward Schreiber, Producer",1965,nominee
SHORT SUBJECT (LIVE ACTION),HELP! MY SNOWMAN'S BURNING DOWN,"Carson Davidson, Producer",1965,nominee
SHORT SUBJECT (LIVE ACTION),THE LEGEND OF JIMMY BLUE EYES,"Robert Clouse, Producer",1965,nominee
SOUND,MY FAIR LADY,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",1965,nominee
SOUND,BECKET,"Shepperton Studio Sound Department, John Cox, Sound Director",1965,nominee
SOUND,FATHER GOOSE,"Universal City Studio Sound Department, Waldon O. Watson, Sound Director",1965,nominee
SOUND,MARY POPPINS,"Walt Disney Studio Sound Department, Robert O. Cook, Sound Director",1965,nominee
SOUND,THE UNSINKABLE MOLLY BROWN,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",1965,nominee
SOUND EFFECTS,GOLDFINGER,Norman Wanstall,1965,nominee
SOUND EFFECTS,THE LIVELY SET,Robert L. Bratton,1965,nominee
SPECIAL VISUAL EFFECTS,MARY POPPINS,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske",1965,nominee
SPECIAL VISUAL EFFECTS,7 FACES OF DR. LAO,Jim Danforth,1965,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),BECKET,Edward Anhalt,1965,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,"Stanley Kubrick, Peter George, Terry Southern",1965,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),MARY POPPINS,"Bill Walsh, Don DaGradi",1965,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),MY FAIR LADY,Alan Jay Lerner,1965,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),ZORBA THE GREEK,Michael Cacoyannis,1965,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),FATHER GOOSE,"Story by S. H. Barnett; Screenplay by Peter Stone, Frank Tarloff",1965,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),A HARD DAY'S NIGHT,Alun Owen,1965,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),"ONE POTATO, TWO POTATO","Story by Orville H. Hampton; Screenplay by Raphael Hayes, Orville H. Hampton",1965,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),THE ORGANIZER,"Age, Scarpelli, Mario Monicelli",1965,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),THAT MAN FROM RIO,"Jean-Paul Rappeneau, Ariane Mnouchkine, Daniel Boulanger, Philippe De Broca",1965,nominee
ACTOR,LEE MARVIN,Cat Ballou,1966,nominee
ACTOR,RICHARD BURTON,The Spy Who Came In from the Cold,1966,nominee
ACTOR,LAURENCE OLIVIER,Othello,1966,nominee
ACTOR,ROD STEIGER,The Pawnbroker,1966,nominee
ACTOR,OSKAR WERNER,Ship of Fools,1966,nominee
ACTOR IN A SUPPORTING ROLE,MARTIN BALSAM,A Thousand Clowns,1966,nominee
ACTOR IN A SUPPORTING ROLE,IAN BANNEN,The Flight of the Phoenix,1966,nominee
ACTOR IN A SUPPORTING ROLE,TOM COURTENAY,Doctor Zhivago,1966,nominee
ACTOR IN A SUPPORTING ROLE,MICHAEL DUNN,Ship of Fools,1966,nominee
ACTOR IN A SUPPORTING ROLE,FRANK FINLAY,Othello,1966,nominee
ACTRESS,JULIE CHRISTIE,Darling,1966,nominee
ACTRESS,JULIE ANDREWS,The Sound of Music,1966,nominee
ACTRESS,SAMANTHA EGGAR,The Collector,1966,nominee
ACTRESS,ELIZABETH HARTMAN,A Patch of Blue,1966,nominee
ACTRESS,SIMONE SIGNORET,Ship of Fools,1966,nominee
ACTRESS IN A SUPPORTING ROLE,SHELLEY WINTERS,A Patch of Blue,1966,nominee
ACTRESS IN A SUPPORTING ROLE,RUTH GORDON,Inside Daisy Clover,1966,nominee
ACTRESS IN A SUPPORTING ROLE,JOYCE REDMAN,Othello,1966,nominee
ACTRESS IN A SUPPORTING ROLE,MAGGIE SMITH,Othello,1966,nominee
ACTRESS IN A SUPPORTING ROLE,PEGGY WOOD,The Sound of Music,1966,nominee
ART DIRECTION (BLACK-AND-WHITE),SHIP OF FOOLS,Art Direction: Robert Clatworthy; Set Decoration: Joseph Kish,1966,nominee
ART DIRECTION (BLACK-AND-WHITE),KING RAT,Art Direction: Robert Emmet Smith; Set Decoration: Frank Tuttle,1966,nominee
ART DIRECTION (BLACK-AND-WHITE),A PATCH OF BLUE,"Art Direction: George W. Davis, Urie McCleary; Set Decoration: Henry Grace, Charles S. Thompson",1966,nominee
ART DIRECTION (BLACK-AND-WHITE),THE SLENDER THREAD,"Art Direction: Hal Pereira, Jack Poplin; Set Decoration: Robert Benton, Joseph Kish",1966,nominee
ART DIRECTION (BLACK-AND-WHITE),THE SPY WHO CAME IN FROM THE COLD,"Art Direction: Hal Pereira, Tambi Larsen, Edward Marshall; Set Decoration: Josie MacAvin",1966,nominee
ART DIRECTION (COLOR),DOCTOR ZHIVAGO,"Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni",1966,nominee
ART DIRECTION (COLOR),THE AGONY AND THE ECSTASY,"Art Direction: John DeCuir, Jack Martin Smith; Set Decoration: Dario Simoni",1966,nominee
ART DIRECTION (COLOR),THE GREATEST STORY EVER TOLD,"Art Direction: Richard Day, William Creber, David Hall; Set Decoration: Ray Moyer, Fred MacLean, Norman Rockett",1966,nominee
ART DIRECTION (COLOR),INSIDE DAISY CLOVER,Art Direction: Robert Clatworthy; Set Decoration: George James Hopkins,1966,nominee
ART DIRECTION (COLOR),THE SOUND OF MUSIC,"Art Direction: Boris Leven; Set Decoration: Walter M. Scott, Ruby Levitt",1966,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),SHIP OF FOOLS,Ernest Laszlo,1966,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),IN HARM'S WAY,Loyal Griggs,1966,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),KING RAT,Burnett Guffey,1966,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),MORITURI,Conrad Hall,1966,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),A PATCH OF BLUE,Robert Burks,1966,nominee
CINEMATOGRAPHY (COLOR),DOCTOR ZHIVAGO,Freddie Young,1966,nominee
CINEMATOGRAPHY (COLOR),THE AGONY AND THE ECSTASY,Leon Shamroy,1966,nominee
CINEMATOGRAPHY (COLOR),THE GREAT RACE,Russell Harlan,1966,nominee
CINEMATOGRAPHY (COLOR),THE GREATEST STORY EVER TOLD,"William C. Mellor, Loyal Griggs",1966,nominee
CINEMATOGRAPHY (COLOR),THE SOUND OF MUSIC,Ted McCord,1966,nominee
COSTUME DESIGN (BLACK-AND-WHITE),DARLING,Julie Harris,1966,nominee
COSTUME DESIGN (BLACK-AND-WHITE),MORITURI,Moss Mabry,1966,nominee
COSTUME DESIGN (BLACK-AND-WHITE),A RAGE TO LIVE,Howard Shoup,1966,nominee
COSTUME DESIGN (BLACK-AND-WHITE),SHIP OF FOOLS,"Bill Thomas, Jean Louis",1966,nominee
COSTUME DESIGN (BLACK-AND-WHITE),THE SLENDER THREAD,Edith Head,1966,nominee
COSTUME DESIGN (COLOR),DOCTOR ZHIVAGO,Phyllis Dalton,1966,nominee
COSTUME DESIGN (COLOR),THE AGONY AND THE ECSTASY,Vittorio Nino Novarese,1966,nominee
COSTUME DESIGN (COLOR),THE GREATEST STORY EVER TOLD,"Vittorio Nino Novarese, Marjorie Best",1966,nominee
COSTUME DESIGN (COLOR),INSIDE DAISY CLOVER,"Edith Head, Bill Thomas",1966,nominee
COSTUME DESIGN (COLOR),THE SOUND OF MUSIC,Dorothy Jeakins,1966,nominee
DIRECTING,THE SOUND OF MUSIC,Robert Wise,1966,nominee
DIRECTING,THE COLLECTOR,William Wyler,1966,nominee
DIRECTING,DARLING,John Schlesinger,1966,nominee
DIRECTING,DOCTOR ZHIVAGO,David Lean,1966,nominee
DIRECTING,WOMAN IN THE DUNES,Hiroshi Teshigahara,1966,nominee
DOCUMENTARY (FEATURE),THE ELEANOR ROOSEVELT STORY,"Sidney Glazier, Producer",1966,nominee
DOCUMENTARY (FEATURE),THE BATTLE OF THE BULGE...THE BRAVE RIFLES,"Laurence E. Mascott, Producer",1966,nominee
DOCUMENTARY (FEATURE),THE FORTH ROAD BRIDGE,"Peter Mills, Producer",1966,nominee
DOCUMENTARY (FEATURE),LET MY PEOPLE GO,"Marshall Flaum, Producer",1966,nominee
DOCUMENTARY (FEATURE),TO DIE IN MADRID,To Die in Madrid,1966,nominee
DOCUMENTARY (SHORT SUBJECT),TO BE ALIVE!,"Francis Thompson, Producer",1966,nominee
DOCUMENTARY (SHORT SUBJECT),MURAL ON OUR STREET,"Kirk Smallman, Producer",1966,nominee
DOCUMENTARY (SHORT SUBJECT),OUVERTURE,Mafilm Productions,1966,nominee
DOCUMENTARY (SHORT SUBJECT),POINT OF VIEW,Vision Associates Productions,1966,nominee
DOCUMENTARY (SHORT SUBJECT),YEATS COUNTRY,"Patrick Carey and Joe Mendoza, Producers",1966,nominee
FILM EDITING,THE SOUND OF MUSIC,William Reynolds,1966,nominee
FILM EDITING,CAT BALLOU,Charles Nelson,1966,nominee
FILM EDITING,DOCTOR ZHIVAGO,Norman Savage,1966,nominee
FILM EDITING,THE FLIGHT OF THE PHOENIX,Michael Luciano,1966,nominee
FILM EDITING,THE GREAT RACE,Ralph E. Winters,1966,nominee
FOREIGN LANGUAGE FILM,THE SHOP ON MAIN STREET,Czechoslovakia,1966,nominee
FOREIGN LANGUAGE FILM,BLOOD ON THE LAND,Greece,1966,nominee
FOREIGN LANGUAGE FILM,DEAR JOHN,Sweden,1966,nominee
FOREIGN LANGUAGE FILM,KWAIDAN,Japan,1966,nominee
FOREIGN LANGUAGE FILM,MARRIAGE ITALIAN STYLE,Italy,1966,nominee
IRVING G. THALBERG MEMORIAL AWARD,,William Wyler,1966,nominee
JEAN HERSHOLT HUMANITARIAN AWARD,,Edmond L. DePatie,1966,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),DOCTOR ZHIVAGO,Maurice Jarre,1966,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),THE AGONY AND THE ECSTASY,Alex North,1966,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),THE GREATEST STORY EVER TOLD,Alfred Newman,1966,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),A PATCH OF BLUE,Jerry Goldsmith,1966,nominee
MUSIC (MUSIC SCORE--SUBSTANTIALLY ORIGINAL),THE UMBRELLAS OF CHERBOURG,"Michel Legrand, Jacques Demy",1966,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),THE SOUND OF MUSIC,Irwin Kostal,1966,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),CAT BALLOU,DeVol,1966,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),THE PLEASURE SEEKERS,"Lionel Newman, Alexander Courage",1966,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),A THOUSAND CLOWNS,Don Walker,1966,nominee
MUSIC (SCORING OF MUSIC--ADAPTATION OR TREATMENT),THE UMBRELLAS OF CHERBOURG,Michel Legrand,1966,nominee
MUSIC (SONG),THE SANDPIPER,"The Shadow Of Your Smile in ""The Sandpiper"" Music by Johnny Mandel; Lyrics by Paul Francis Webster",1966,nominee
MUSIC (SONG),CAT BALLOU,"The Ballad Of Cat Ballou in ""Cat Ballou"" Music by Jerry Livingston; Lyrics by Mack David",1966,nominee
MUSIC (SONG),THE UMBRELLAS OF CHERBOURG,"I Will Wait For You in ""The Umbrellas of Cherbourg"" Music by Michel Legrand; Lyrics by Jacques Demy; English Lyrics by Norman Gimbel",1966,nominee
MUSIC (SONG),THE GREAT RACE,"The Sweetheart Tree in ""The Great Race"" Music by Henry Mancini; Lyrics by Johnny Mercer",1966,nominee
MUSIC (SONG),WHAT'S NEW PUSSYCAT?,"What's New Pussycat? in ""What's New Pussycat?"" Music by Burt Bacharach; Lyrics by Hal David",1966,nominee
BEST PICTURE,THE SOUND OF MUSIC,"Robert Wise, Producer",1966,nominee
BEST PICTURE,DARLING,"Joseph Janni, Producer",1966,nominee
BEST PICTURE,DOCTOR ZHIVAGO,"Carlo Ponti, Producer",1966,nominee
BEST PICTURE,SHIP OF FOOLS,"Stanley Kramer, Producer",1966,nominee
BEST PICTURE,A THOUSAND CLOWNS,"Fred Coe, Producer",1966,nominee
SHORT SUBJECT (CARTOON),THE DOT AND THE LINE,"Chuck Jones and Les Goldman, Producers",1966,nominee
SHORT SUBJECT (CARTOON),CLAY OR THE ORIGIN OF SPECIES,"Eliot Noyes, Jr., Producer",1966,nominee
SHORT SUBJECT (CARTOON),THE THIEVING MAGPIE (LA GAZZA LADRA),"Emanuele Luzzati, Producer",1966,nominee
SHORT SUBJECT (LIVE ACTION),THE CHICKEN (LE POULET),"Claude Berri, Producer",1966,nominee
SHORT SUBJECT (LIVE ACTION),FORTRESS OF PEACE,"Lothar Wolff, Producer",1966,nominee
SHORT SUBJECT (LIVE ACTION),SKATERDATER,"Marshal Backlar and Noel Black, Producers",1966,nominee
SHORT SUBJECT (LIVE ACTION),SNOW,"Edgar Anstey, Producer",1966,nominee
SHORT SUBJECT (LIVE ACTION),TIME PIECE,"Jim Henson, Producer",1966,nominee
SOUND,THE SOUND OF MUSIC,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",1966,nominee
SOUND,THE AGONY AND THE ECSTASY,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director",1966,nominee
SOUND,DOCTOR ZHIVAGO,"Metro-Goldwyn-Mayer British Studio Sound Department, A. W. Watkins, Sound Director; and Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",1966,nominee
SOUND,THE GREAT RACE,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",1966,nominee
SOUND,SHENANDOAH,"Universal City Studio Sound Department, Waldon O. Watson, Sound Director",1966,nominee
SOUND EFFECTS,THE GREAT RACE,Tregoweth Brown,1966,nominee
SOUND EFFECTS,VON RYAN'S EXPRESS,Walter A. Rossi,1966,nominee
SPECIAL VISUAL EFFECTS,THUNDERBALL,John Stears,1966,nominee
SPECIAL VISUAL EFFECTS,THE GREATEST STORY EVER TOLD,J. McMillan Johnson,1966,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),DOCTOR ZHIVAGO,Robert Bolt,1966,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),CAT BALLOU,"Walter Newman, Frank R. Pierson",1966,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),THE COLLECTOR,"Stanley Mann, John Kohn",1966,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),SHIP OF FOOLS,Abby Mann,1966,nominee
WRITING (SCREENPLAY--BASED ON MATERIAL FROM ANOTHER MEDIUM),A THOUSAND CLOWNS,Herb Gardner,1966,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),DARLING,Frederic Raphael,1966,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),CASANOVA '70,"Age, Scarpelli, Mario Monicelli, Tonino Guerra, Giorgio Salvioni, Suso Cecchi D'Amico",1966,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),THOSE MAGNIFICENT MEN IN THEIR FLYING MACHINES,"Jack Davies, Ken Annakin",1966,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),THE TRAIN,"Franklin Coen, Frank Davis",1966,nominee
WRITING (STORY AND SCREENPLAY--WRITTEN DIRECTLY FOR THE SCREEN),THE UMBRELLAS OF CHERBOURG,Jacques Demy,1966,nominee
ACTOR,PAUL SCOFIELD,A Man for All Seasons,1967,nominee
ACTOR,ALAN ARKIN,The Russians Are Coming The Russians Are Coming,1967,nominee
ACTOR,RICHARD BURTON,Who's Afraid of Virginia Woolf?,1967,nominee
ACTOR,MICHAEL CAINE,Alfie,1967,nominee
ACTOR,STEVE MCQUEEN,The Sand Pebbles,1967,nominee
ACTOR IN A SUPPORTING ROLE,WALTER MATTHAU,The Fortune Cookie,1967,nominee
ACTOR IN A SUPPORTING ROLE,MAKO,The Sand Pebbles,1967,nominee
ACTOR IN A SUPPORTING ROLE,JAMES MASON,Georgy Girl,1967,nominee
ACTOR IN A SUPPORTING ROLE,GEORGE SEGAL,Who's Afraid of Virginia Woolf?,1967,nominee
ACTOR IN A SUPPORTING ROLE,ROBERT SHAW,A Man for All Seasons,1967,nominee
ACTRESS,ELIZABETH TAYLOR,Who's Afraid of Virginia Woolf?,1967,nominee
ACTRESS,ANOUK AIMEE,A Man and a Woman,1967,nominee
ACTRESS,IDA KAMINSKA,The Shop on Main Street,1967,nominee
ACTRESS,LYNN REDGRAVE,Georgy Girl,1967,nominee
ACTRESS,VANESSA REDGRAVE,Morgan!,1967,nominee
ACTRESS IN A SUPPORTING ROLE,SANDY DENNIS,Who's Afraid of Virginia Woolf?,1967,nominee
ACTRESS IN A SUPPORTING ROLE,WENDY HILLER,A Man for All Seasons,1967,nominee
ACTRESS IN A SUPPORTING ROLE,JOCELYNE LAGARDE,Hawaii,1967,nominee
ACTRESS IN A SUPPORTING ROLE,VIVIEN MERCHANT,Alfie,1967,nominee
ACTRESS IN A SUPPORTING ROLE,GERALDINE PAGE,You're a Big Boy Now,1967,nominee
ART DIRECTION (BLACK-AND-WHITE),WHO'S AFRAID OF VIRGINIA WOOLF?,Art Direction: Richard Sylbert; Set Decoration: George James Hopkins,1967,nominee
ART DIRECTION (BLACK-AND-WHITE),THE FORTUNE COOKIE,Art Direction: Robert Luthardt; Set Decoration: Edward G. Boyle,1967,nominee
ART DIRECTION (BLACK-AND-WHITE),THE GOSPEL ACCORDING TO ST. MATTHEW,Luigi Scaccianoce,1967,nominee
ART DIRECTION (BLACK-AND-WHITE),IS PARIS BURNING?,"Art Direction: Willy Holt; Set Decoration: Marc Frederix, Pierre Guffroy",1967,nominee
ART DIRECTION (BLACK-AND-WHITE),MISTER BUDDWING,"Art Direction: George W. Davis, Paul Groesse; Set Decoration: Henry Grace, Hugh Hunt",1967,nominee
ART DIRECTION (COLOR),FANTASTIC VOYAGE,"Art Direction: Jack Martin Smith, Dale Hennesy; Set Decoration: Walter M. Scott, Stuart A. Reiss",1967,nominee
ART DIRECTION (COLOR),GAMBIT,"Art Direction: Alexander Golitzen, George C. Webb; Set Decoration: John McCarthy, John Austin",1967,nominee
ART DIRECTION (COLOR),JULIET OF THE SPIRITS,Piero Gherardi,1967,nominee
ART DIRECTION (COLOR),THE OSCAR,"Art Direction: Hal Pereira, Arthur Lonergan; Set Decoration: Robert Benton, James Payne",1967,nominee
ART DIRECTION (COLOR),THE SAND PEBBLES,"Art Direction: Boris Leven; Set Decoration: Walter M. Scott, John Sturtevant, William Kiernan",1967,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),WHO'S AFRAID OF VIRGINIA WOOLF?,Haskell Wexler,1967,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),THE FORTUNE COOKIE,Joseph LaShelle,1967,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),GEORGY GIRL,Ken Higgins,1967,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),IS PARIS BURNING?,Marcel Grignon,1967,nominee
CINEMATOGRAPHY (BLACK-AND-WHITE),SECONDS,James Wong Howe,1967,nominee
CINEMATOGRAPHY (COLOR),A MAN FOR ALL SEASONS,Ted Moore,1967,nominee
CINEMATOGRAPHY (COLOR),FANTASTIC VOYAGE,Ernest Laszlo,1967,nominee
CINEMATOGRAPHY (COLOR),HAWAII,Russell Harlan,1967,nominee
CINEMATOGRAPHY (COLOR),THE PROFESSIONALS,Conrad Hall,1967,nominee
CINEMATOGRAPHY (COLOR),THE SAND PEBBLES,Joseph MacDonald,1967,nominee
